Card Name,Card Link,Card ID,archive,Information through ATE,It can be taken to EREN,Danger type 3.,Danger type 2.,Hazard type,Hazard characterization,Keywords,2. FILTRATION,Information is ready,"Document, publication related to the case 2.",Information source name/affiliation,Primary source of information,"Document, publication related to the case",Action taken,Additional measures,2. FILTER Are risk management options known?,2. FILTER Severity,2. FILTER Measure,2. FILTER Proximity in time,2. FILTRATION Groundedness,Total score of SCREENING 2,1. FILTRATION,2. RESULT OF FILTERING,Result of FILTER 1,Pre-screening,It requires confidential case management,Event type,Regularity of revaluation,"Document, publication related to the case 3.",What driver affects it?,Driver effect,1. Justification of FILTERING,Date of event (appearance of risk).,Date of access to information,Description of action,What is the reason for the increased exposure/sensitivity?,Signal,Notifiable body,Rationale for pre-screening,DRIVERs 1,HAZARDcat 1,PRODUCT 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,SOME information,2. Justification of FILTERING,It must be indicated as a partner institution,Unnamed: 53
More shrimp sold at Kroger stores recalled for possible radioactive contamination,https://trello.com/c/6909b1a07af38ee4c91a028b,6909b1a07af38ee4c91a028b,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-10-21T10:00:00.000Z,,,,,,,,,,,,,,,,
Acetamiprid,https://trello.com/c/6909b238a87a4baf79fc4346,6909b238a87a4baf79fc4346,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,,,,,,,2025-10-21T10:00:00.000Z,,,,,,,,,,,,,,,,
Research: 10 pesticides banned for years found in French clouds,https://trello.com/c/6909b2f57626ed7f0afaa6c5,6909b2f57626ed7f0afaa6c5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerging viruses special issue regarding fruites and vegetables,https://trello.com/c/654de17dad8586f366156e42,654de17dad8586f366156e42,0,,,,,,,,,,,EMM,From the media,,,,,,,,,,,,,,,,3 months,,,,,,2023-11-08T11:00:00.000Z,,,,,,,,,,,,,,,,
Cat food was recalled because pancytopenia developed in the animals,https://trello.com/c/614c43f92946793f2f519d5e,614c43f92946793f2f519d5e,0,,,I can't classify it/It can't be classified,Microbiological hazard,Mikotoxin,we don't know the exact danger,#pancytopenia #petfood #cat,,,,EMM news,From the media,Media appearance,,,,,,,,,Known hazard and increased exposure,,More information is required,It will move on to PHASE I,It doesn't require,Healthcare,6 months,,,,"We don't know the danger, this can be changed over time if there is more information.",2021-06-17T10:00:00.000Z,2021-07-09T10:00:00.000Z,,,,,The number of diseases in pets is increasing.,,,,,,,,,,,
Essential oil-loaded nanofibers,https://trello.com/c/608804c414f1017add6aa602,608804c414f1017add6aa602,0,Ready,,,,Nanotechnology,Cytotoxicity: Potential harm to human cells.  Allergic Reactions: Risk of allergies or sensitivities.  Chemical Interactions: Adverse reactions with food components.  Inconsistent Release: Risk of overexposure due to variable release rates.  Ingestion Risks: Health issues if ingested accidentally.  Unknown Long-term Effects: Lack of research on long-term impacts.,#nanofibre #essentialoil,,True,,,From the media,Publication,,,,,,,,,A new danger,,More information is required,It will move on to PHASE I,It doesn't require,,1 year,,,,,2021-04-13T10:00:00.000Z,2021-04-20T10:00:00.000Z,,,,,,,,,,,,,,,,
Bacillus subtilis UD1022,https://trello.com/c/5f22bdbbc19a1d35269b0474,5f22bdbbc19a1d35269b0474,0,Ready,Done (was already on EREN),Other danger,GMO,Microbiological hazard,"Technological developments (e.g. Bacillus subtilis) may entail unintended risks, in this case microbiological risks.",#salmonella #bacillus #bacillussubtilis,More information is required,True,Publication,EMM news monitoring,From the media,Media appearance,True,,Not enough information,Not enough information,Not enough information,2,4,6.0,A new danger,More information is required,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,,,,,2020-07-22T10:00:00.000Z,,,,,,,,,,,,,,,,
Harmful algal blooms,https://trello.com/c/5e1db64960691f2caf141e36,5e1db64960691f2caf141e36,0,Ready,,,Bacterium,A naturally occurring toxic compound,"Toxic cyanobacteria (blue-green algae), which proliferate in temperate and warm-weather lakes in summer, can cause illness or death in livestock and even humans.",#algal bloom #harmful algal bloom #HAB #toxin #cianobacteria,,True,,,From the media,Media appearance,,,1 (again),1,2,3,3,10.0,Known hazard and increased exposure,Eliminated 3. (observation),II. PHASE,It will move on to PHASE I,It doesn't require,Economic and health,1 month,,climate change,True,,2019-09-17T10:00:00.000Z,2019-11-18T11:00:00.000Z,,,,,,,,,,,,,Ready,,,
Use of novel substrates for rearing insects,https://trello.com/c/6459ff9d38d7f57facc0d428,6459ff9d38d7f57facc0d428,0,,,,,I can't classify it/it can't be classified,"Allergen Transfer: There is a risk that allergens could be transferred through the insect rearing process.  Chemical Contaminants: Potential chemical contaminants that could be present include:  Heavy metals  Veterinary medicines  Pesticides  Persistent organic pollutants (e.g., dioxins)    Microbiological Contaminants: There is a risk of microbial contaminants, which could include mycotoxins.",#insectrearing #insect #allergen,Eliminated 3. (observation),,,EMM,From the media,Media appearance,,,,Not enough information,Not enough information,2,Not enough information,,Known hazard and increased exposure,,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,3 months,,"sustainability, lack of protein",True,,,2023-04-25T10:00:00.000Z,,sustainability,,,using waste as insect rearing can be accompained by health risks,,,,,,,,,,,
"Studies assess PFAS, OPEs, and plasticizers in paper & board",https://trello.com/c/63e20d28be9924dbc26038b4,63e20d28be9924dbc26038b4,0,,,,,Material released from packaging,"PFAS (Per- and Polyfluoroalkyl Substances):    Increased risk of cancer  Hormone disruption  Weakened immune system  Liver damage  Higher cholesterol levels     OPEs (Organophosphate Esters):    Neurotoxicity  Endocrine disruption  Respiratory issues     Plasticizers (e.g., Phthalates):    Reproductive toxicity  Hormone disruption  Increased cancer risk  Liver and kidney damage    These substances in paper and board materials can pose health risks through contact, ingestion, or inhalation.",#PFAS #OPE #plasticizer #migration #fcm #paper,III. PHASE,True,Publication,EMM,From the media,Media appearance,,,3 (no),3,Not enough information,4,4,14.0,Known hazard and increased exposure,,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,3 months,,sustainability,True,,,2023-02-02T11:00:00.000Z,,,,,,,,,,,,,,,,
UK rethinks GM approval,https://trello.com/c/5ffd5f88b05f1b70f52c03cd,5ffd5f88b05f1b70f52c03cd,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year,,,,,,2021-01-12T11:00:00.000Z,,,,,,,,,,,,,,,,
"New Research Reveals Pesticide Mixtures Widespread In Environment, Urging Enhanced Regulatory Measures",https://trello.com/c/65699ea7277a03313cdbff4e,65699ea7277a03313cdbff4e,0,,,,,Plant protection product residue,Increased Toxicity  Endocrine Disruption  Neurotoxicity  Cancer Risk  Respiratory Problems  Immune System Suppression  Reproductive and Developmental Issues  Organ Damage  Allergic Reactions  These risks underscore the need for careful regulation and monitoring of pesticide mixtures to protect health.,#pesticides #persistent #environment,,,Other,EMM,From the media,Media appearance,,,1 (again),3,Not enough information,3,3,,New evidence for hazard characterization,,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,6 months,,,,,,2023-11-24T11:00:00.000Z,,,,,,,,,,,,,,,,
Monkeypox,https://trello.com/c/628f5f18f21b1b28c241007f,628f5f18f21b1b28c241007f,0,,,,Virus,Biological hazard,"The most common initial symptoms are fever, muscle pain, fatigue, and headache. After the appearance of the introductory symptoms, maculopapular rashes appear. The disease typically lasts 2-4 weeks. The patient is contagious from the onset of the initial symptoms through the various stages of skin manifestations until the scabs dry up and fall off.",#mpox #monkeypox #zoonosis,,,Publication,EMM,From the media,Media appearance,,,,,,,,,Known hazard and increased exposure,,2 is eliminated.,,It doesn't require,Healthcare,,Other,"Climate change, environmental destruction",True,,2022-05-07T10:00:00.000Z,2022-05-26T10:00:00.000Z,,,,,"Although it is a known zoonosis, this is the first time that the virus spreads from person to person outside of Africa, and in many cases the patients did not visit an endemic area. The virus spreads through close contact between people. It is suspected that it can be spread by small rodents, e.g. rats and may even become endemic in Europe.",,,,,,,,,,,
Peruvian company innovates sustainable packaging for export fruits,https://trello.com/c/647edad323cac3bd4e049b15,647edad323cac3bd4e049b15,0,,,,,,"Material Safety: The virgin fibreboard must be free of harmful chemicals that could leach into the fruit and pose health risks to consumers.    Pathogen Inhibition: If the packaging fails to adequately inhibit pathogen growth, there is a risk of contamination and foodborne illness.    Moisture Resistance: Insufficient moisture resistance could lead to spoilage or mold growth, affecting both food safety and quality.    Allergen Contamination: If the packaging is not properly manufactured, there is a risk of cross-contamination with allergens.    Biodegradability Concerns: While aiming for sustainability, it’s crucial to ensure that biodegradable components do not degrade prematurely during the supply chain, which could compromise food safety.",#virgin fibreboard#sustainable packaging,,,,EMM,From the media,,True,,,2,2,2,2,,Not ER,,,It will move on to PHASE I,,,6 months,,,,,,2023-05-30T10:00:00.000Z,,,,,,,,,,,,,,,,
Uptake and Survival of African Swine Fever Virus in Mealworm and Black Soldier Fly Larvae,https://trello.com/c/63db740d6bc6c30ce92cd11f,63db740d6bc6c30ce92cd11f,0,,,,,Microbiological hazard,"Pathogen Transmission: Insects raised on substrates containing animal waste may harbor pathogens that can be transmitted to animals and humans. This is particularly concerning with viruses like the African swine fever virus (ASFV).    Virus Survival: Studies have shown that ASFV can survive in larvae such as the mealybug and black soldier fly. This poses a risk of spreading the virus to susceptible animals through consumption of these insects.    Food Safety: If insects are used as food or feed, there is a potential risk to the food chain if they carry pathogens from contaminated substrates.    Regulatory Concerns: Current regulations limit the use of animal by-products in insect farming due to these risks, necessitating thorough risk assessments and safety evaluations before any changes can be made.",#black soldier fly#slime pig#african swine fever,,,,EMM,From the media,Publication,True,,,2,3,3,2,10.0,Known danger and increased sensitivity,,,It will move on to PHASE I,,,6 months,,,,,,2023-01-24T11:00:00.000Z,,,,,,,,,,,,,,,,
Australia’s first genetically modified fruit sent for approval,https://trello.com/c/647edbb95d7bad9823d963cb,647edbb95d7bad9823d963cb,0,,,,,GMO,A GM plant that is under approval in Australia.,#banana #gm #fungus #panamadisease,,,,EMM,From the media,Media appearance,,,,,,,,,A new danger,,2 is eliminated.,It will move on to PHASE I,It doesn't require,Economic and health,1 year,,,,"It is a new GM plant, there might be no risks, but the authorization will take time.",,2023-05-30T10:00:00.000Z,,"A species of fungus threatens the Cavendish banana, GM bananas are resistant to it.",,,,,,,,,,,,,,
PESTICIDES USED IN EUROPE TURN OUT TO BE “ETERNAL POLLUTANTS”: NGOS MAKE DAMNING REVELATIONS IN A REPORT PUBLISHED THIS THURSDAY,https://trello.com/c/65699dd9e29990189288bd2d,65699dd9e29990189288bd2d,0,,,,,Plant protection product residue,"The health risks associated with pesticides containing PFAS in the EU include cancer, persistent contamination of food and water, increased use leading to environmental pollution, and the need for a complete ban on these chemicals to reduce risks and protect public health and the environment.",#PAN #PFAS #PFOS #pesticide,,,,EMM,From the media,Media appearance,,,,Not enough information,Not enough information,Not enough information,2,,New evidence for hazard characterization,,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,1 year,,,,,,2023-11-24T11:00:00.000Z,,,,,,,,,,,,,,,,
Suspected edible oil contaminated with industrial  chemical substances,https://trello.com/c/674305fd2cbfd81735f7ed28,674305fd2cbfd81735f7ed28,0,,,,Pollutant of technological origin,Chemical hazard,Contamination in edible oils due to malpractice in transfer,#edible #oil #contamination #malpractice #china #efsa #foodfraud,III. PHASE,,,EREN,From another foreign institution/organization,,,,1 (again),2,3,4,4,14.0,Known hazard and increased exposure,III. PHASE,II. PHASE,It will move on to PHASE I,,Economic and health,3 months,,,,,,2024-10-28T11:00:00.000Z,,Low transfer / quality assurance standars,,,Growing exposure compromises masses,,,,More information needed,,,,,,,
Trifluoroacetic acid (TFA),https://trello.com/c/66dff8d9a3338a7e34e3a757,66dff8d9a3338a7e34e3a757,0,Ready,,,,,,,,True,,EMM,From the media,,True,,,,,,,,,,,,,,1 month,,,,,,2024-09-03T10:00:00.000Z,,,,,,,,,ER (Action needed),,,,Ready,,,
demo,https://trello.com/c/680f69a8f5b469479af461c1,680f69a8f5b469479af461c1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 months,,,,,,,,,,,,,,,,,,,,,,
Risks related to probiotics,https://trello.com/c/66dffd2c9782d8921df22967,66dffd2c9782d8921df22967,0,,,,,Microbiological hazard,The Food Safety Authority of Ireland (FSAI) has published a guidance on the safe use of probiotics in food supplements.,#Food Safety Autority of Ireland (FSAI) #guidance #probiotics #supplements,,,,EMM,From the media,Media appearance,,,,,,,,,New evidence for hazard characterization,,More information is required,,It doesn't require,Healthcare,,,,,,,2024-09-03T10:00:00.000Z,,,,,,,1.3.2 Microorganisms,"2.6 Food supplements, dietary foods and fortified foods",,,,,,,,
Foodborne infections caused by Edwardsiella tarda,https://trello.com/c/6743049cd8f28004c5633161,6743049cd8f28004c5633161,0,,,,Microbiological hazard,Bacterium,"New results highlighted the emerging foodborne pathogen Edwardsiella tarda, linked to aquaculture fish production and climate change, with growing concerns about its prevalence in seafood and human cases",#foodborne#infection#Edwardsiella#aquaculture#,,,,EREN,From another foreign institution/organization,Publication,,,,,,,,,Known hazard and increased exposure,,More information is required,It will move on to PHASE I,,Healthcare,,,"Climate change, environmental pollution, aquaculture, globalization",,,,2024-10-28T11:00:00.000Z,,Due to climate change and shift in aquaculture production,,,This bacteria pose a significant public health risk.,8. Climate change,1.3.2.1 Viruses,3.5 Fish and marine animals,More information needed,,,"5.4 Increase in productivity from other primary production technologies (e.g. management practices, aquaculture)",,,,
Authorities Track Animals from Sheep Pox Hotspot Hidden Away by Owners,https://trello.com/c/678f5be4498f890b47efc833,678f5be4498f890b47efc833,0,,,,Virus,Microbiological hazard,"Sheep and goat pox (SGP) is a highly contagious viral disease caused by Capripoxvirus, leading to significant economic losses in livestock.",,,,Other,EMM,From the media,Publication,,,1 (again),2,2,3,2,10.0,Known hazard and increased exposure,,More information is required,It will move on to PHASE I,,Economic and health,,Media appearance,Global trade,,More information needed about the prevalence of the virus in the effected countries,,2025-01-14T11:00:00.000Z,,Poor Official Veterinarian control,,,"Sheep and goat pox (SGP) is a highly contagious viral disease caused by Capripoxvirus, leading to significant economic losses in livestock. Endemic in parts of Africa, the Middle East, and Asia, it has recurrent outbreaks in Europe, including Greece and Bulgaria.",1.4 Stagnating/decreasing levels of trust in public authorities,1.3.2.1 Viruses,3.1 Cattle and other domestic ruminants,,,,2. Global trade,,,,
Alarming superbug from deadly eyedrop outbreak has spread to dogs,https://trello.com/c/66559a9f90d92146807010fa,66559a9f90d92146807010fa,0,,,,Microbiological hazard,Bacterium,An extensively drug-resistant Pseudomonas aeruginosa strain inked to the 2022–2023 US artificial-tears resistance outbreak been detected in two pet dogs,#AMR #transmission route #clonal relatedness #,,,,EMM,From the media,Media appearance,,,,,,,,,New evidence for hazard characterization,,More information is required,It will move on to PHASE I,,,,,,,,,2024-05-21T10:00:00.000Z,,,,,,,1.3.2.2 Bacteria,3.7 Pets,,,,,,,,
Water bead-related emergency room visits increased nearly 131% in 1 year,https://trello.com/c/66e94307b9d24f7e59d8bfc0,66e94307b9d24f7e59d8bfc0,0,,,,,Foreign material,Mistaken with food could cause severe gastrointestinal symptoms,#nonfood #waterbeads #safety,,,,EMM,From the media,,,,,,,,,,Known hazard and increased exposure,,2 is eliminated.,It will move on to PHASE I,,Healthcare,,,Economical,,,,2024-09-10T10:00:00.000Z,,Ease of access,,,Occurence of similar cases indicates escalation,,,,,,,,,,,
EU Food Safety Authority Identifies Safety Risks of Argon and Helium as Food Additives,https://trello.com/c/674da051b3b8af70d7e4c923,674da051b3b8af70d7e4c923,0,,,,Chemical hazard,Additive,chemicals intentionally used in food production,#argon #helium #food additive #EFSA #assessment,,,,EMM,From the media,,,,,,,,,,Not ER,,2 is eliminated.,It will move on to PHASE I,It doesn't require,Healthcare,,,,,"chemically inert gases, toxicological effects are not expected, according to the EFSA opinion",,2024-11-26T11:00:00.000Z,,,,,chemicals intentionally used in food production,,1.2.5 Food additives,2 Food,,,,,,,,
Will the expiration dates on some products soon be ending?,https://trello.com/c/68356b5dc587f2693b8d635e,68356b5dc587f2693b8d635e,0,,,,Other danger,Microbiological hazard,"It is proposed in France that expiration dates are removed from certain food products labels, to avoid their throwing away, thereby reducing food waste.",#expiration #food waste,,,,EMM,From the media,,,,,,,,,,A new danger,,2 is eliminated.,It will move on to PHASE I,It doesn't require,Healthcare,6 months,,,,"Removal of expiration dates would concern mostly dry food products, and not fresh products, for which these dates are necessary for consumer health. In addition this issue is due in France.",,2025-04-29T10:00:00.000Z,,,,,Removing expiration rates could potentially cause illness in case of foods which are spoiled past their due dates.,,1.3.2 Microorganisms,2 Food,,,,,,,,
Shocking proposals to EU Listeria regulation revealed,https://trello.com/c/66559ad7b1f8cef47da0f1e7,66559ad7b1f8cef47da0f1e7,0,,,,Bacterium,Microbiological hazard,The number of cases of listeriosis in humans in the EU was 15.9% higher in 2022 than in 2021,#listeriosis #foodborn disease,,,,EMM,From the media,Media appearance,,,,,,,,,Not ER,,2 is eliminated.,,,Healthcare,,,,,,,2024-05-21T10:00:00.000Z,,,,,,,1.3.2.2.15           Listeria,2 Food,,,,,,,,
AMR content in petfood,https://trello.com/c/61373c93d3d8eb07dfc0d2e6,61373c93d3d8eb07dfc0d2e6,0,,,,,Microbiological hazard,Antibiotic-resistant Enterococci have been found in dog food and raw dog food.,#petfood #AMR #dog #enterococcus,More information is required,,,,From the media,Publication,,,1 (again),Not enough information,Not enough information,3,3,7.0,Known hazard and increased exposure,,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,6 months,,,,More and more households have dogs and more and more people feed them raw.,2021-07-12T10:00:00.000Z,2021-08-01T10:00:00.000Z,,More and more households have dogs and more and more people feed them raw.,,,AMR and the growing problems with dog food.,,,,,,,,,Further studies and data are needed to clarify the links.,,
Identification and Evaluation of (Non-)Intentionally Added Substances in Post-Consumer Recyclates and Their Toxicological Classification,https://trello.com/c/63fdc35bae49f7a57bbd97dd,63fdc35bae49f7a57bbd97dd,0,,,,Material released from packaging,Chemical hazard,(non-)intentionally added substances in post-consumer recyclates,#non-intentionally added substances (NIAS); #food packaging; #polymer contaminants; #recycling,,,Publication,EMM,From the media,Media appearance,,,,,,,,,New evidence for hazard characterization,,II. PHASE,,It doesn't require,Healthcare,,,,,,,2023-02-21T11:00:00.000Z,,,,,,,,,,,,,,,,
World Healt Organisation tells everyone to avoid sweeteners in new warning,https://trello.com/c/649547f6a28580f271702f80,649547f6a28580f271702f80,0,,,,Chemical hazard,Additive,WHO do not recommend the use of non-sugar sweeteners to control body weight or reduce the risk of non-communicable diseases,#WHO #non-sugar sweeteners,,,Publication,EMM,From the media,Media appearance,,,3 (no),3,Not enough information,4,4,14.0,New evidence for hazard characterization,III. PHASE,II. PHASE,It will move on to PHASE I,,Healthcare,,,,,,,2023-06-06T10:00:00.000Z,,,,,,,,,,,,,,,,
"FDA Says Aspartame Is Safe, Disagreeing With WHO's Cancer Link",https://trello.com/c/64d1f3aa8bfe3643c8d4cb44,64d1f3aa8bfe3643c8d4cb44,0,,,,Additive,Chemical hazard,possible link between aspartame and liver cancer,#aspartame #liver cancer #safe within the approved limits,,,Publication,EMM,From the media,Media appearance,,,1 (again),Not enough information,Not enough information,4,4,9.0,New evidence for hazard characterization,,II. PHASE,,,,,,,,,,2023-08-01T10:00:00.000Z,,,,,,,,,,,,,,,,
US researchers have identified more than half a hundred foreign compounds in mothers and newborns,https://trello.com/c/605b98929be2267164a2087b,605b98929be2267164a2087b,0,,Done (was already on EREN),,,Chemical hazard,Several foreign chemical compounds have been identified in newborn babies.,#chemical exposures #newborn #pregnancy #,Eliminated 3. (observation),,,,From the media,Publication,,,Not enough information,Not enough information,Not enough information,3,4,,Known danger and increased sensitivity,Eliminated 3. (observation),II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,1 year,,,,There is no info on what exposure means and how it affects the developing organism.,,2021-03-01T11:00:00.000Z,,(new analytical technology?),,,"The entry of these substances into the fetus is certainly of interest, but more information is needed, both on exposure routes and on the potential effects of the substances.",,,,,,,,,"The entry of these substances into the fetus is certainly of interest, but more information is needed, both on exposure routes and on the potential effects of the substances.",,
Updated risk assessment highlights the need for stricter regulation on MOH in food,https://trello.com/c/652790ea0c0762e1c6e8f784,652790ea0c0762e1c6e8f784,0,Ready,,,,Chemical hazard,MOH in food,"#mineral oil-saturated hydrocarbon (MOSH), #mineral oil aromatic hydrocarbon (MOAH)",,,Publication,EMM,From the media,Media appearance,,,3 (no),Not enough information,Not enough information,4,4,11.0,New evidence for hazard characterization,III. PHASE,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,,,,,2023-10-13T10:00:00.000Z,,,,,,,,,,,,,,,,
One in 10 young people globally have used dud or harmful weight loss supplements to achieve toned physiques,https://trello.com/c/65b8b4f5074718bbd3d7f05e,65b8b4f5074718bbd3d7f05e,0,,,,,Chemical hazard,Adolescents using harmful weight loss suplements,#adolescents #weight loss suplements #Ozempic #Wegovy #childhood obesity,,,Publication,EMM,From the media,Media appearance,,,3 (no),Not enough information,Not enough information,4,4,11.0,A new danger,III. PHASE,II. PHASE,,,Healthcare,,,,,,,2024-01-23T11:00:00.000Z,,,,,,,,,,,,,,,,
Rise in pesticides in European fruit and vegetables,https://trello.com/c/62cd431a379e8e4f038f378c,62cd431a379e8e4f038f378c,0,Ready,,,,Plant protection product residue,"Pesticides are carcinogenic, immunosupressive, genotoxic compounds.",#pesticide #report #PAN,,True,Media appearance,EMM,From the media,Publication,True,Communication,3 (no),Not enough information,Not enough information,4,4,,Known hazard and increased exposure,III. PHASE,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,3 months,,inadequate plant protection,True,,2011-08-03T10:00:00.000Z,2022-06-15T10:00:00.000Z,,inadequate plant protection,,,,,,,,,,,,,,
Researchers explore link between iron supplementation and Parkinson’s progression,https://trello.com/c/63c5be34904cc1013144c9de,63c5be34904cc1013144c9de,0,,To Do,,,Chemical hazard,damage to nervous system,#parkinson #iron #supplementation,,,Publication,EMM,From the media,Media appearance,,,3 (no),Not enough information,Not enough information,2,2,7.0,New evidence for hazard characterization,More information is required,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,3 months,,,,,,2023-01-10T11:00:00.000Z,,,,,,,,,,,,,,,,
PFAS contamination from sea spray aerosols,https://trello.com/c/667aa89e8f4345d215e361d9,667aa89e8f4345d215e361d9,0,,,,Pollutant of environmental origin,Chemical hazard,"PFAS are forever chemicals causing long-term health issues. This is a new route of exposure. PFAS have been linked to a number of adverse human health effects, including cancer, thyroid problems, and developmental problems in children",#PFAS #seaspray,,,Publication,EREN,From another foreign institution/organization,Lecture,,,3 (no),3,Not enough information,Not enough information,4,10.0,New evidence for hazard characterization,Eliminated 3. (observation),II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,,,,,,,2024-05-23T10:00:00.000Z,,,,,,,,,,,,,,,,
Effect of emulsifiers on health (intestinal permeability and others),https://trello.com/c/5c6bf2641b5bcf5b00967b8c,5c6bf2641b5bcf5b00967b8c,0,,,,Additive,Chemical hazard,"A growing number of scientific research points to a causal relationship between the consumption of surfactant emulsifiers and allergic, inflammatory and autoimmune diseases, as a result of the increased permeability of the intestinal wall. Nowadays, the use of emulsifiers in food is very widespread and increases by 3% every year. The increased permeability of the intestinal mucosa has already been associated with many of today's ""civilized"" diseases, such as allergies, inflammatory bowel diseases, various autoimmune diseases (e.g. type 1 diabetes, celiac disease, multiple sclerosis, and many others).",#additives #surfactant #tensid #gut #permeability #chronic #illness,,,Lecture,"EFSA EREN meeting, Katalin F.Dr. Csáki (KKI)",Within your own institution,Publication,True,Research,1 (again),4,4,4,3,16.0,Known hazard and increased exposure,Eliminated 3. (observation),II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,1 year,Other,increase in usage,True,"the mentioned additives are consumed in large quantities, and the occurrence of diseases related to the weakened intestinal mucosal barrier function has increased",1990-01-01T11:00:00.000Z,2013-01-01T11:00:00.000Z,,increase in the production of emulsifiers,,,"serious diseases are (may be) associated with it, large production",,,,,,,,,Further in vivo research results would be useful to confirm whether the mentioned emulsifiers really increase intestinal permeability and whether they are really harmful.,,
Singapore approves 16 species of insects including silkworms and grasshopper for human consumption,https://trello.com/c/646c7e0437171fcb85f4abce,646c7e0437171fcb85f4abce,0,,,,,,1.  Allergies: Some individuals may be allergic to certain insects used for food.     Contamination: Improper processing may lead to pathogen contamination.     Toxicity: Certain insects may contain toxins or allergens.     Digestive Issues: Insect consumption may cause digestive discomfort.     Unknown Health Risks: Long-term health effects of insect consumption are not fully understood.,#grasshopper #silkworm #insect #allergen,More information is required,,,EMM,From the media,Media appearance,,,,,,,,,New evidence for hazard characterization,,II. PHASE,It will move on to PHASE I,,,6 months,,"sustainability, food security",,,,2023-05-23T10:00:00.000Z,,,,,,,,,,,,,,,,
Research shows vertical transmission of Salmonella Reading in breeders,https://trello.com/c/65f00eea518ec49f609de347,65f00eea518ec49f609de347,0,,,,,Microbiological hazard,"Salmonella Reading, a foodborn pathogen was found to be widespread in commercial turkey products, can colonize the reproductive tissues of breeder hens and be vertically transferred to eggs",#Salmonella Reading #foodborn pathogen #turkey #vertical transmission,,,Publication,EMM,From the media,Media appearance,,,1 (again),2,Not enough information,4,4,11.0,New evidence for hazard characterization,III. PHASE,II. PHASE,It will move on to PHASE I,,,,,,,,,2024-03-05T11:00:00.000Z,,,,,,,,,More information needed,,,,,,,
Roasting can make sugar-free chocolate tastier,https://trello.com/c/621fcad013bba025d4b28be0,621fcad013bba025d4b28be0,0,Ready,,,Pollutant of technological origin,Chemical hazard,"1. Acrylamide, Acrolein, and PAHs: Roasting dark chocolate at high temperatures can lead to the formation of harmful chemicals like acrylamide, acrolein, and polycyclic aromatic hydrocarbons (PAHs), which are known to be carcinogenic.     Potential Health Effects: Continuous exposure to these chemicals, even in small amounts, may pose health risks over time, especially with frequent consumption of dark chocolate roasted at higher temperatures.     Balancing Taste and Health: While modifying the taste of dark chocolate is important for consumer acceptance, it is crucial to minimize health risks by optimizing roasting processes to reduce the formation of harmful compounds.",#acrylamide #PAH #pyrazine #roasting #cocoa,III. PHASE,True,Publication,Ákos found it,From the media,Media appearance,,,1 (again),4,Not enough information,Not enough information,2,,Known hazard and increased exposure,III. PHASE,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,6 months,,new consumer trends,,"new trend, increased exposure",2022-03-15T11:00:00.000Z,2022-03-15T11:00:00.000Z,,"lowering sugar consumption, new consumer trends",,,,,,,,,,,,,,
"EFSA flags “likely” safety risk in sulfites, but more data needed",https://trello.com/c/63c5bedf9226e30079ef48ca,63c5bedf9226e30079ef48ca,0,Ready,,,A naturally occurring toxic compound,Additive,"Health risks of high sulfite intake include safety concerns due to gaps in toxicity data, potential adverse effects on the central nervous system, and hypersensitivity or intolerance in sensitive individuals. Sulfites, found naturally in the body and in foods like apples and wine, are added to various food products as preservatives and antioxidants. EFSA couldn't establish an acceptable daily intake for sulfites and found that estimated intakes may exceed safe levels by up to 12.5% for children and up to 60% for adults. Further investigation is recommended on hypersensitivity reactions.",#riskassessment #sulfite #sulphite #dietaryintake,,True,Publication,EMM,From the media,Media appearance,True,,1 (again),3,3,4,4,16.0,New evidence for hazard characterization,III. PHASE,II. PHASE,It will move on to PHASE I,It doesn't require,Healthcare,6 months,,,,,,2023-01-10T11:00:00.000Z,,,,,,,,,,,,,,,,
